id,data_source,collection_type,records_collected,status,error_message,started_at,completed_at,collection_date,duration_seconds,is_successful
1,OpenChargeMap,charging_stations,100,success,,2025-10-21T02:03:18.845096,2025-10-21T02:03:18.845105,2025-10-21,9e-06,True
2,OpenChargeMap,charging_stations,100,success,,2025-10-21T02:06:32.46212,2025-10-21T02:06:32.462151,2025-10-21,3.1e-05,True
3,Historical_Data,historical_collection,700,success,,2025-10-21T02:10:20.299843,2025-10-21T02:10:20.300067,2025-10-21,0.000224,True
4,OpenChargeMap,charging_stations,100,success,,2025-10-21T02:10:26.817432,2025-10-21T02:10:26.817464,2025-10-21,3.2e-05,True
5,OpenWeatherMap,weather_data,50,success,,2025-10-21T02:11:29.074657,2025-10-21T02:11:29.074665,2025-10-21,8e-06,True
6,OpenChargeMap,charging_stations,100,success,,2025-10-21T02:16:18.59834,2025-10-21T02:16:18.598351,2025-10-21,1.1e-05,True
7,OpenWeatherMap,weather_data,50,success,,2025-10-21T02:17:20.612111,2025-10-21T02:17:20.612123,2025-10-21,1.2e-05,True
8,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:17:53.175268,2025-12-10T07:17:53.175276,2025-12-10,8e-06,True
9,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:18:35.726753,2025-12-10T07:18:35.726759,2025-12-10,6e-06,True
10,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:18:59.675926,2025-12-10T07:18:59.675935,2025-12-10,9e-06,True
11,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:19:43.264473,2025-12-10T07:19:43.26453,2025-12-10,5.7e-05,True
12,Historical_Data,historical_collection,217,success,,2025-12-10T07:20:44.226966,2025-12-10T07:20:44.226976,2025-12-10,1e-05,True
13,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:21:07.222095,2025-12-10T07:21:07.222198,2025-12-10,0.000103,True
14,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:21:50.768836,2025-12-10T07:21:50.76885,2025-12-10,1.4e-05,True
15,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:22:13.322854,2025-12-10T07:22:13.322863,2025-12-10,9e-06,True
16,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:22:56.334696,2025-12-10T07:22:56.334704,2025-12-10,8e-06,True
17,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:23:20.040746,2025-12-10T07:23:20.040757,2025-12-10,1.1e-05,True
18,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:24:03.683932,2025-12-10T07:24:03.683952,2025-12-10,2e-05,True
19,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:24:25.132571,2025-12-10T07:24:25.132579,2025-12-10,8e-06,True
20,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:25:09.383216,2025-12-10T07:25:09.383229,2025-12-10,1.3e-05,True
21,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:25:39.109265,2025-12-10T07:25:39.109272,2025-12-10,7e-06,True
22,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:26:21.934373,2025-12-10T07:26:21.934383,2025-12-10,1e-05,True
23,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:26:45.440915,2025-12-10T07:26:45.44093,2025-12-10,1.5e-05,True
24,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:27:28.402906,2025-12-10T07:27:28.402914,2025-12-10,8e-06,True
25,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:28:00.883633,2025-12-10T07:28:00.883642,2025-12-10,9e-06,True
26,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:28:43.597825,2025-12-10T07:28:43.597856,2025-12-10,3.1e-05,True
27,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:29:07.394354,2025-12-10T07:29:07.394367,2025-12-10,1.3e-05,True
28,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:29:50.27706,2025-12-10T07:29:50.277073,2025-12-10,1.3e-05,True
29,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:30:19.87874,2025-12-10T07:30:19.878755,2025-12-10,1.5e-05,True
30,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:31:03.057725,2025-12-10T07:31:03.057738,2025-12-10,1.3e-05,True
31,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:31:25.719812,2025-12-10T07:31:25.719821,2025-12-10,9e-06,True
32,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:32:08.856934,2025-12-10T07:32:08.856944,2025-12-10,1e-05,True
33,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:32:41.538944,2025-12-10T07:32:41.538955,2025-12-10,1.1e-05,True
34,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:33:24.287428,2025-12-10T07:33:24.287444,2025-12-10,1.6e-05,True
35,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:33:51.219268,2025-12-10T07:33:51.21931,2025-12-10,4.2e-05,True
36,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:34:34.508602,2025-12-10T07:34:34.508611,2025-12-10,9e-06,True
37,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:34:58.959981,2025-12-10T07:34:58.960006,2025-12-10,2.5e-05,True
38,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:37:10.206853,2025-12-10T07:37:10.206862,2025-12-10,9e-06,True
