station_id,station_name,latitude,longitude,city,state,country,operator,network,status,access_type,total_charging_points,avg_power_kw,max_power_kw,total_sessions,total_energy_kwh,avg_session_duration_minutes,avg_session_cost,weather_records_count,traffic_records_count,anomaly_count,last_session_date,created_at,updated_at
460201,Krazyfish Grille,29.81527976,-85.30442491,Port St Joe,Florida,United States,(Business Owner at Location),,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451337,2025-10-21T02:16:01.451338
460207,"Thorntons #701 - Largo, FL",27.89478088,-82.76169098,Largo,FL,United States,BP Pulse (US),,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451334,2025-10-21T02:16:01.451334
460208,"Thorntons #710 - Petersburg, FL",27.7851071,-82.67859983,St. Petersburg,FL,United States,BP Pulse (US),,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451331,2025-10-21T02:16:01.451331
460209,"Flying J Travel Center #626 St. Augustine, FL",29.74952422,-81.34471615,St. Augustine,FL,United States,eVgo Network,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451328,2025-10-21T02:16:01.451328
460210,"Pilot Travel Center #222 Sturbridge, MA",42.06670574,-72.1072727,Sturbridge,FL,United States,eVgo Network,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451324,2025-10-21T02:16:01.451325
460211,"Flying J Travel Center #716 Sioux Falls, SD",43.60268229,-96.76705786,Sioux Falls,SD,United States,eVgo Network,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451321,2025-10-21T02:16:01.451322
460212,"Ikea - Emeryville, CA",37.82887211,-122.29199036,Emeryville,CA,United States,Electrify America,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451318,2025-10-21T02:16:01.451318
460213,"IKEA - Norfolk, VA",36.87480965,-76.20024172,Norfolk,VA,United States,Electrify America,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451314,2025-10-21T02:16:01.451315
460215,Tri-City Shopping Center,34.06477416,-117.20365898,Redlands,CA,United States,eVgo Network,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451311,2025-10-21T02:16:01.451311
460263,Rivian Adventure Network,47.29784887,-115.09785862,St. Regis,Montana,United States,Rivian Adventure Network,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451308,2025-10-21T02:16:01.451308
460318,EVgo,47.49120525,-121.7930512,North Bend,Washington,United States,eVgo Network,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451305,2025-10-21T02:16:01.451305
460320,"Ionna - Daly City, CA",37.69757104,-122.46384206,Daly City,CA,United States,IONNA,,Planned For Future Date,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451301,2025-10-21T02:16:01.451302
460321,IONNA - Gilman Rechargery Relay,40.751371,-87.999554,Gilman,IL,United States,IONNA,,Operational,,0,,,0,,,,0,0,0,,2025-10-21T02:16:01.451298,2025-10-21T02:16:01.451299
