station_id,station_name,latitude,longitude,city,state,country,operator,status,total_sessions,total_energy_kwh,avg_cost,charging_points_count
460201,Krazyfish Grille,29.81527976,-85.30442491,Port St Joe,Florida,United States,(Business Owner at Location),Operational,17,709.49,15.088235294117647,0
460207,"Thorntons #701 - Largo, FL",27.89478088,-82.76169098,Largo,FL,United States,BP Pulse (US),Operational,20,910.21,16.591,0
460208,"Thorntons #710 - Petersburg, FL",27.7851071,-82.67859983,St. Petersburg,FL,United States,BP Pulse (US),Operational,17,552.71,9.055882352941177,0
460209,"Flying J Travel Center #626 St. Augustine, FL",29.74952422,-81.34471615,St. Augustine,FL,United States,eVgo Network,Operational,25,1202.67,16.4624,0
460210,"Pilot Travel Center #222 Sturbridge, MA",42.06670574,-72.1072727,Sturbridge,FL,United States,eVgo Network,Operational,21,1006.08,15.375714285714286,0
460211,"Flying J Travel Center #716 Sioux Falls, SD",43.60268229,-96.76705786,Sioux Falls,SD,United States,eVgo Network,Operational,21,1033.71,18.29,0
460212,"Ikea - Emeryville, CA",37.82887211,-122.29199036,Emeryville,CA,United States,Electrify America,Operational,25,890.68,12.2556,0
460213,"IKEA - Norfolk, VA",36.87480965,-76.20024172,Norfolk,VA,United States,Electrify America,Operational,17,997.32,19.785882352941176,0
460215,Tri-City Shopping Center,34.06477416,-117.20365898,Redlands,CA,United States,eVgo Network,Operational,20,1032.98,16.471,0
460263,Rivian Adventure Network,47.29784887,-115.09785862,St. Regis,Montana,United States,Rivian Adventure Network,Operational,22,891.41,13.795454545454545,0
460318,EVgo,47.49120525,-121.7930512,North Bend,Washington,United States,eVgo Network,Operational,22,837.0,10.848636363636363,0
460320,"Ionna - Daly City, CA",37.69757104,-122.46384206,Daly City,CA,United States,IONNA,Planned For Future Date,22,948.34,13.835,0
460321,IONNA - Gilman Rechargery Relay,40.751371,-87.999554,Gilman,IL,United States,IONNA,Operational,22,835.06,12.924090909090909,0
460322,Ionna Daytona Beach Rechargery Relay @Wawa,29.19155152,-81.07322389,Daytona Beach,FL,United States,IONNA,Operational,26,1307.95,14.896153846153846,0
460323,Ionna - OKC,35.46442995,-97.50196143,Oklahoma City,OK,United States,IONNA,Planned For Future Date,20,893.57,13.028,0
460328,Ionna Concord Rechargery,35.44325145,-80.59532961,Concord,NC,United States,IONNA,Planned For Future Date,20,876.23,13.4345,0
460329,IONNA Seffner Rechargery,28.00780677,-82.30035151,Seffner,FL,United States,IONNA,Planned For Future Date,15,561.87,10.412,0
460331,"Pilot Travel Center #474 Sutton, WV",38.705166,-80.6642,Sutton,WV,United States,eVgo Network,Operational,18,828.52,14.791666666666666,0
460345,Central Co-op,47.29007101,-122.51639041,Tacoma,WA,United States,(Unknown Operator),Operational,22,1022.04,17.478636363636365,0
460367,Santa Monica Station,34.027246,-118.481496,Santa Monica,CA,United States,Electrify America,Operational,17,669.46,12.08470588235294,0
460368,"bp pulse - Duarte, CA",34.139788,-117.960017,Duarte,CA,United States,BP Pulse (US),Operational,18,741.71,12.660555555555556,0
460371,"Circle K - Yuma, AZ",32.67071735,-114.52084983,Yuma,AZ,United States,Circle K,Operational,25,1058.74,15.4588,0
460372,"Pilot Travel Center #1208 Yuma, AZ",32.68634649,-114.57994208,Yuma,AZ,United States,eVgo Network,Planned For Future Date,25,704.26,10.2852,0
460384,Mendocino Marketplace,38.46243609,-122.71766634,Santa Rosa,CA,United States,eVgo Network,Operational,20,762.32,11.7035,0
460429,Ruby's Inn General Store - Tesla Supercharger,37.67264681,-112.15698159,Bryce Canyon City,Utah,United States,Tesla (including non-tesla),Operational,19,665.26,12.685263157894736,0
460430,Revel - South San Francisco,37.650626,-122.430513,South San Francisco,CA,United States,(Unknown Operator),Planned For Future Date,27,1099.63,12.832962962962963,0
460484,L2 near Ball&Chain,25.76586362,-80.19108354,Miami,Florida,United States,(Unknown Operator),Operational,25,1282.98,16.7532,0
460485,Safeway,37.99980212,-122.1324847,Martinez,CA,United States,Electrify America,Operational,19,813.75,13.558947368421052,0
460503,Futurama near Ball & Chain,25.76582562,-80.22176735,Miami,Florida,United States,ChargeBay (US),Operational,20,727.94,12.1435,0
460504,Marketplace Foods,48.21768268,-101.2976794,Minot,ND,United States,Tesla (including non-tesla),Operational,22,904.2,15.217727272727272,0
460505,Mass General Brigham Healthcare Center,43.21401746,-70.90285659,Dover,NH,United States,(Unknown Operator),Operational,18,796.66,14.203333333333333,0
460506,Wentworth-Douglass Hospital,43.21433139,-70.87372468,Dover,NH,United States,(Unknown Operator),Operational,27,1210.11,16.18148148148148,0
460570,Eastern Market Public Lot,42.34910874,-83.04295829,Detroit,MI,United States,Red E Charge,Operational,22,985.99,16.002727272727274,0
460571,Exxon Utica,42.62658474,-83.01745639,Utica,MI,United States,Red E Charge,Operational,25,934.99,12.5604,0
460606,Destination Charger,48.36543391,-114.14529999,Columbia Falls,Montana,United States,EDP,Operational,23,1174.75,15.63,0
460632,Parsons Chevy - Eagle River,45.90313038,-89.29469754,Eagle River,WI,United States,InCharge (US),Operational,21,944.05,16.367142857142856,0
460671,FPL,30.51073053,-87.18375093,Pensacola,Florida,United States,(Unknown Operator),Operational,25,904.55,12.1684,0
460673,Telsa Supercharger,42.4312555,-123.16273323,Rogue River,Oregon,United States,Tesla (including non-tesla),Operational,24,1044.77,13.984583333333333,0
460708,Chargepoint,36.7520475,-86.1794829,Scottsville,Kentucky,United States,(Unknown Operator),Operational,27,1299.09,12.447037037037036,0
460949,"Flying J Travel Center #737 San Antonio, TX",29.44599025,-98.36098899,San Antonio,TX,United States,eVgo Network,Operational,15,541.81,11.106,0
460953,"Flying J Travel Center #690 Lordsburg, NM",32.34177939,-108.67760606,Lordsburg,NM,United States,eVgo Network,Operational,23,801.64,10.656086956521738,0
460954,"Flying J Travel Center #671 Matthews, MO",36.7602601,-89.54037352,Matthews,MO,United States,eVgo Network,Operational,22,622.78,8.888636363636364,0
460955,"Flying J Travel Center #572 Williams, IA",42.47054168,-93.57198536,Williams,IA,United States,eVgo Network,Operational,18,895.84,15.133888888888889,0
460956,"Pilot Travel Center #368 Decatur, IL",39.90728707,-88.8961106,Decatur,IL,United States,eVgo Network,Operational,27,949.61,10.257777777777777,0
460957,"Flying J Travel Center #489 Grand Forks, ND",47.88805211,-97.09235312,Grand Forks,ND,United States,eVgo Network,Operational,22,881.05,12.105,0
460958,"Pilot Travel Center #1225 Mascoutah, IL",38.55573984,-89.80639259,Mascoutah,IL,United States,eVgo Network,Operational,18,815.74,12.748333333333333,0
460959,"Thorntons #327 - Bellwood, IL",41.8722861,-87.86239501,Bellwood,IL,United States,BP Pulse (US),Operational,16,649.86,12.060625,0
460969,EVgo - SF SOMA,37.7769255,-122.40419731,San Francisco,CA,United States,eVgo Network,Operational,16,526.06,10.838125,0
461048,Mitra EV DCFC - Ford Commercial,37.415328,-122.076575,Sacramento,CA,United States,(Unknown Operator),Operational,26,1101.41,13.98076923076923,0
461049,Mitra EV DCFC - Aztec Solar,38.60760033,-121.26022187,Rancho Cordova,CA,United States,(Unknown Operator),Operational,21,897.96,12.974761904761905,0
461050,Mitra EV DCFC - Sierra Pacific,38.609349,-121.259377,Rancho Cordova,CA,United States,(Unknown Operator),Operational,17,757.53,12.933529411764706,0
461073,Fairfield by Marriott Inn & Suites Houston Brookhollow,29.83692,-95.484585,Houston,TX,United States,Tesla (including non-tesla),Operational,16,862.61,19.224375,0
461130,TownePlace Suites by Marriott Houston Northwest/Beltway 8,29.90245,-95.544401,Houston,TX,United States,Tesla (including non-tesla),Operational,20,856.68,14.5945,0
461135,Marathon,43.00643564,-85.68835797,Grand Rapids,MI,United States,Red E Charge,Operational,17,937.42,17.381176470588237,0
461155,Key Chrysler Dodge Jeep Ram,43.3155252,-70.99527714,Rochester,New Hampshire,United States,(Unknown Operator),Partly Operational (Mixed),22,816.69,12.597272727272728,0
461156,Key GMC of Rochester,43.31462844,-70.99564133,Rochester,New Hampshire,United States,InCharge (US),Operational,28,1035.79,14.304285714285715,0
