station_id,station_name,timestamp,weather_date,hour_of_day,temperature_celsius,humidity_percent,pressure_hpa,wind_speed_ms,precipitation_mm,weather_condition,uv_index,sessions_during_weather,energy_during_weather,avg_duration_during_weather
461050,Mitra EV DCFC - Sierra Pacific,2025-10-21T02:11:19,2025-10-21,2,21.0,55.0,1017.0,0.0,0.0,Clear,0.0,0,,
461050,Mitra EV DCFC - Sierra Pacific,2025-10-21T02:17:11,2025-10-21,2,20.68,55.0,1017.0,2.06,0.0,Clear,0.0,0,,
461073,Fairfield by Marriott Inn & Suites Houston Brookhollow,2025-10-21T02:11:18,2025-10-21,2,25.91,79.0,1014.0,5.14,0.0,Clear,0.0,0,,
461073,Fairfield by Marriott Inn & Suites Houston Brookhollow,2025-10-21T02:17:10,2025-10-21,2,25.88,80.0,1014.0,6.17,0.0,Clear,0.0,0,,
461130,TownePlace Suites by Marriott Houston Northwest/Beltway 8,2025-10-21T02:11:17,2025-10-21,2,25.87,79.0,1014.0,3.6,0.0,Clear,0.0,0,,
461130,TownePlace Suites by Marriott Houston Northwest/Beltway 8,2025-10-21T02:17:09,2025-10-21,2,25.83,79.0,1014.0,3.6,0.0,Clear,0.0,0,,
461135,Marathon,2025-10-21T02:11:16,2025-10-21,2,11.15,66.0,1009.0,0.89,0.0,Clear,0.0,0,,
461135,Marathon,2025-10-21T02:17:08,2025-10-21,2,11.02,66.0,1009.0,0.89,0.0,Clear,0.0,0,,
461155,Key Chrysler Dodge Jeep Ram,2025-10-21T02:11:14,2025-10-21,2,11.25,92.0,1005.0,2.06,0.0,Clouds,0.0,0,,
461155,Key Chrysler Dodge Jeep Ram,2025-10-21T02:17:07,2025-10-21,2,11.23,92.0,1005.0,2.06,0.0,Clouds,0.0,0,,
461156,Key GMC of Rochester,2025-10-21T02:11:13,2025-10-21,2,11.25,92.0,1005.0,2.06,0.0,Clouds,0.0,0,,
461156,Key GMC of Rochester,2025-10-21T02:17:06,2025-10-21,2,11.23,92.0,1005.0,2.06,0.0,Clouds,0.0,0,,
461157,University Place Library,2025-10-21T02:11:12,2025-10-21,2,12.16,80.0,1026.0,0.0,0.0,Clouds,0.0,0,,
461157,University Place Library,2025-10-21T02:17:05,2025-10-21,2,12.12,80.0,1026.0,0.0,0.0,Clear,0.0,0,,
461164,Clawson Shopping Center,2025-10-21T02:11:11,2025-10-21,2,10.86,73.0,1011.0,2.06,0.0,Clear,0.0,0,,
461164,Clawson Shopping Center,2025-10-21T02:17:04,2025-10-21,2,10.84,74.0,1011.0,2.06,0.0,Clear,0.0,0,,
461165,Heilmann Community Center,2025-10-21T02:11:10,2025-10-21,2,10.87,77.0,1011.0,2.06,0.0,Clear,0.0,0,,
461165,Heilmann Community Center,2025-10-21T02:17:02,2025-10-21,2,11.05,72.0,1011.0,2.06,0.0,Clear,0.0,0,,
461166,Gladwin City Hall,2025-10-21T02:11:09,2025-10-21,2,9.96,66.0,1010.0,3.3,0.0,Clear,0.0,0,,
461166,Gladwin City Hall,2025-10-21T02:17:01,2025-10-21,2,9.96,66.0,1010.0,3.3,0.0,Clear,0.0,0,,
461167,Pats Food Freeland,2025-10-21T02:11:08,2025-10-21,2,9.23,74.0,1011.0,3.09,0.0,Clear,0.0,0,,
461167,Pats Food Freeland,2025-10-21T02:17:00,2025-10-21,2,9.26,74.0,1011.0,3.09,0.0,Clear,0.0,0,,
461170,Hamilton Market St,2025-10-21T02:11:07,2025-10-21,2,12.5,64.0,1012.0,1.34,0.0,Clear,0.0,0,,
461170,Hamilton Market St,2025-10-21T02:16:59,2025-10-21,2,12.69,63.0,1012.0,1.34,0.0,Clear,0.0,0,,
461171,Hamilton CNG Filling Station,2025-10-21T02:11:06,2025-10-21,2,12.42,64.0,1012.0,1.34,0.0,Clear,0.0,0,,
461171,Hamilton CNG Filling Station,2025-10-21T02:16:58,2025-10-21,2,12.61,63.0,1012.0,1.34,0.0,Clear,0.0,0,,
461251,Sunshine Gardens,2025-10-21T02:11:05,2025-10-21,2,19.84,64.0,1017.0,2.24,0.0,Clear,0.0,0,,
461251,Sunshine Gardens,2025-10-21T02:16:57,2025-10-21,2,20.0,63.0,1017.0,5.66,0.0,Clear,0.0,0,,
461252,D & 3rd Street Curbside,2025-10-21T02:11:04,2025-10-21,2,21.81,50.0,1017.0,0.0,0.0,Clear,0.0,0,,
461252,D & 3rd Street Curbside,2025-10-21T02:16:56,2025-10-21,2,21.58,49.0,1017.0,2.06,0.0,Clear,0.0,0,,
461275,Goodwill,2025-10-21T02:11:03,2025-10-21,2,9.35,73.0,1004.0,6.69,0.0,Clouds,0.0,0,,
461275,Goodwill,2025-10-21T02:16:55,2025-10-21,2,9.16,73.0,1004.0,6.69,0.0,Clouds,0.0,0,,
461307,Fas Mart,2025-10-21T02:11:02,2025-10-21,2,11.29,66.0,1008.0,3.13,0.0,Clear,0.0,0,,
461307,Fas Mart,2025-10-21T02:16:54,2025-10-21,2,11.28,66.0,1008.0,3.13,0.0,Clear,0.0,0,,
461370,Miller Hill Super One,2025-10-21T02:11:01,2025-10-21,2,7.23,80.0,1000.0,8.23,0.0,Clouds,0.0,0,,
461370,Miller Hill Super One,2025-10-21T02:16:53,2025-10-21,2,7.39,80.0,1000.0,8.23,0.0,Clouds,0.0,0,,
461511,Sleep Inn & Suites Monroe - Woodbury,2025-10-21T02:11:00,2025-10-21,2,11.38,77.0,1012.0,5.14,0.0,Clouds,0.0,0,,
461511,Sleep Inn & Suites Monroe - Woodbury,2025-10-21T02:16:52,2025-10-21,2,11.14,77.0,1012.0,5.14,0.0,Clouds,0.0,0,,
461541,Fox Kia South,2025-10-21T02:10:59,2025-10-21,2,10.59,67.0,1009.0,0.89,0.0,Clear,0.0,0,,
461541,Fox Kia South,2025-10-21T02:16:51,2025-10-21,2,10.47,68.0,1009.0,0.89,0.0,Clear,0.0,0,,
461543,Garcia Bend Park,2025-10-21T02:10:58,2025-10-21,2,21.62,56.0,1017.0,0.62,0.0,Clear,0.0,0,,
461543,Garcia Bend Park,2025-10-21T02:16:50,2025-10-21,2,21.36,53.0,1017.0,0.0,0.0,Clear,0.0,0,,
461546,"Pilot Travel Center #1051 Iowa, LA",2025-10-21T02:10:57,2025-10-21,2,19.1,88.0,1016.0,3.6,0.0,Clear,0.0,0,,
461546,"Pilot Travel Center #1051 Iowa, LA",2025-10-21T02:16:49,2025-10-21,2,19.14,88.0,1016.0,3.6,0.0,Clear,0.0,0,,
461547,"Pilot Travel Center #1047 Jacksonville, FL",2025-10-21T02:10:55,2025-10-21,2,16.79,86.0,1019.0,0.0,0.0,Clear,0.0,0,,
461547,"Pilot Travel Center #1047 Jacksonville, FL",2025-10-21T02:16:48,2025-10-21,2,16.7,87.0,1019.0,0.0,0.0,Clear,0.0,0,,
461548,"Pilot Travel Center #374 Marianna, FL",2025-10-21T02:10:54,2025-10-21,2,15.55,70.0,1019.0,0.81,0.0,Clear,0.0,0,,
461548,"Pilot Travel Center #374 Marianna, FL",2025-10-21T02:16:47,2025-10-21,2,14.03,77.0,1019.0,0.0,0.0,Clear,0.0,0,,
461549,"ONE9 Travel Center #7937 Mcleansville, NC",2025-10-21T02:10:53,2025-10-21,2,9.34,80.0,1018.0,1.97,0.0,Clear,0.0,0,,
461549,"ONE9 Travel Center #7937 Mcleansville, NC",2025-10-21T02:16:46,2025-10-21,2,8.88,80.0,1018.0,0.0,0.0,Clear,0.0,0,,
461550,"Flying J Travel Center #706 Tulsa, OK",2025-10-21T02:10:52,2025-10-21,2,20.73,44.0,1014.0,0.89,0.0,Clear,0.0,0,,
461550,"Flying J Travel Center #706 Tulsa, OK",2025-10-21T02:16:45,2025-10-21,2,20.28,45.0,1014.0,3.6,0.0,Clear,0.0,0,,
461551,Berkeley Bowl (West),2025-10-21T02:10:51,2025-10-21,2,21.56,52.0,1016.0,1.54,0.0,Clouds,0.0,0,,
461551,Berkeley Bowl (West),2025-10-21T02:16:44,2025-10-21,2,21.59,52.0,1016.0,1.54,0.0,Clouds,0.0,0,,
461553,Ventura County Credit Union,2025-10-21T02:10:50,2025-10-21,2,18.44,81.0,1017.0,7.15,0.0,Clear,0.0,0,,
