station_id,station_name,city,state,session_date,hour_of_day,day_of_week,is_weekend,session_count,total_energy_kwh,avg_energy_kwh,avg_duration_minutes,total_cost,avg_cost
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-11,13,2,False,1,35.88,35.88,60.0,10.29,10.29
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-11,15,2,False,1,33.37,33.37,90.0,3.38,3.38
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-11,19,2,False,3,75.06,25.02,80.0,17.5,5.833333333333333
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-12,12,3,False,1,28.56,28.56,90.0,4.74,4.74
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-12,15,3,False,1,47.89,47.89,180.0,16.6,16.6
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-12,21,3,False,1,40.51,40.51,60.0,6.14,6.14
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-13,13,4,False,1,26.99,26.99,45.0,9.75,9.75
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-13,19,4,False,2,66.18,33.09,75.0,18.71,9.355
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-14,5,5,False,1,25.67,25.67,45.0,8.72,8.72
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-14,9,5,False,2,63.54,31.77,82.5,17.22,8.61
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-14,12,5,False,1,48.75,48.75,60.0,15.77,15.77
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-14,18,5,False,1,63.83,63.83,90.0,19.74,19.74
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-15,6,6,True,1,19.49,19.49,60.0,7.27,7.27
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-15,7,6,True,1,14.28,14.28,60.0,5.46,5.46
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-15,9,6,True,1,15.95,15.95,30.0,7.52,7.52
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-15,15,6,True,1,43.55,43.55,60.0,8.9,8.9
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-15,18,6,True,1,120.76,120.76,180.0,12.24,12.24
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-16,9,0,True,1,77.18,77.18,120.0,33.32,33.32
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-16,11,0,True,1,19.45,19.45,60.0,7.71,7.71
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-16,14,0,True,1,72.11,72.11,90.0,30.98,30.98
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-16,22,0,True,1,8.88,8.88,60.0,2.64,2.64
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-17,4,1,False,1,17.48,17.48,60.0,3.01,3.01
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-17,6,1,False,1,17.62,17.62,90.0,7.6,7.6
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-17,8,1,False,1,31.62,31.62,45.0,5.95,5.95
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-18,4,2,False,1,23.72,23.72,60.0,4.86,4.86
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-18,15,2,False,1,61.66,61.66,90.0,17.66,17.66
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-19,4,3,False,1,48.39,48.39,60.0,16.51,16.51
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-19,8,3,False,1,52.86,52.86,90.0,12.07,12.07
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-19,17,3,False,1,137.1,137.1,180.0,44.91,44.91
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-19,22,3,False,1,7.47,7.47,30.0,1.81,1.81
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-20,4,4,False,1,8.64,8.64,45.0,2.27,2.27
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-20,5,4,False,1,34.46,34.46,60.0,9.94,9.94
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-20,7,4,False,1,45.68,45.68,60.0,8.14,8.14
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-20,9,4,False,2,98.63,49.315,82.5,25.21,12.605
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-20,13,4,False,1,47.8,47.8,90.0,18.59,18.59
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-21,6,5,False,1,7.45,7.45,60.0,3.3,3.3
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-21,9,5,False,1,27.86,27.86,45.0,10.89,10.89
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-21,13,5,False,1,39.34,39.34,120.0,14.76,14.76
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-22,0,6,True,1,37.36,37.36,60.0,8.32,8.32
460201,Krazyfish Grille,Port St Joe,Florida,2025-11-22,2,6,True,1,14.78,14.78,60.0,4.49,4.49
